UNCLOSED POSITIONS DETAILED REPORT
====================================================================================================
Generated: 2025-11-18 20:40:08.884789
Total Unclosed: 251
Total Trapped Margin: $64,429.40


XRP/USDT (49 positions)
----------------------------------------------------------------------------------------------------
  ID: 65 | Time: 2025-11-06 11:30:21 | Age: 12d 9h | Side: SHORT | Amount: 4320.0044 | Price: $0.53 | Margin: $114.96 | Fee: $2.30
  ID: 68 | Time: 2025-11-06 11:38:42 | Age: 12d 9h | Side: SHORT | Amount: 27.1446 | Price: $0.53 | Margin: $0.72 | Fee: $0.01
  ID: 69 | Time: 2025-11-06 11:45:54 | Age: 12d 8h | Side: SHORT | Amount: 22.9915 | Price: $0.53 | Margin: $0.61 | Fee: $0.01
  ID: 76 | Time: 2025-11-06 12:25:18 | Age: 12d 8h | Side: SHORT | Amount: 10.0011 | Price: $0.53 | Margin: $0.27 | Fee: $0.01
  ID: 78 | Time: 2025-11-06 12:33:16 | Age: 12d 8h | Side: SHORT | Amount: 8.4710 | Price: $0.53 | Margin: $0.23 | Fee: $0.00
  ID: 83 | Time: 2025-11-06 12:40:26 | Age: 12d 7h | Side: SHORT | Amount: 5.1473 | Price: $0.53 | Margin: $0.14 | Fee: $0.00
  ID: 86 | Time: 2025-11-06 12:42:53 | Age: 12d 7h | Side: SHORT | Amount: 1348.1340 | Price: $0.53 | Margin: $35.95 | Fee: $0.72
  ID: 91 | Time: 2025-11-06 12:50:39 | Age: 12d 7h | Side: SHORT | Amount: 698.2322 | Price: $0.53 | Margin: $18.50 | Fee: $0.37
  ID: 94 | Time: 2025-11-06 12:55:24 | Age: 12d 7h | Side: SHORT | Amount: 2.2535 | Price: $0.53 | Margin: $0.06 | Fee: $0.00
  ID: 100 | Time: 2025-11-06 13:03:39 | Age: 12d 7h | Side: SHORT | Amount: 1.1620 | Price: $0.53 | Margin: $0.03 | Fee: $0.00
  ID: 105 | Time: 2025-11-06 13:07:18 | Age: 12d 7h | Side: SHORT | Amount: 257.7685 | Price: $0.53 | Margin: $6.83 | Fee: $0.14
  ID: 108 | Time: 2025-11-06 13:12:44 | Age: 12d 7h | Side: SHORT | Amount: 0.7026 | Price: $0.53 | Margin: $0.02 | Fee: $0.00
  ID: 121 | Time: 2025-11-06 13:50:53 | Age: 12d 6h | Side: SHORT | Amount: 40.8521 | Price: $0.54 | Margin: $1.10 | Fee: $0.02
  ID: 133 | Time: 2025-11-06 14:27:05 | Age: 12d 6h | Side: SHORT | Amount: 0.1334 | Price: $0.53 | Margin: $0.00 | Fee: $0.00
  ID: 137 | Time: 2025-11-06 14:32:55 | Age: 12d 6h | Side: SHORT | Amount: 10.9242 | Price: $0.53 | Margin: $0.29 | Fee: $0.01
  ID: 141 | Time: 2025-11-06 14:35:12 | Age: 12d 6h | Side: SHORT | Amount: 0.0692 | Price: $0.53 | Margin: $0.00 | Fee: $0.00
  ID: 147 | Time: 2025-11-06 14:44:18 | Age: 12d 5h | Side: SHORT | Amount: 0.0356 | Price: $0.53 | Margin: $0.00 | Fee: $0.00
  ID: 149 | Time: 2025-11-06 14:49:47 | Age: 12d 5h | Side: SHORT | Amount: 5.6447 | Price: $0.53 | Margin: $0.15 | Fee: $0.00
  ID: 155 | Time: 2025-11-06 14:53:32 | Age: 12d 5h | Side: SHORT | Amount: 0.0155 | Price: $0.53 | Margin: $0.00 | Fee: $0.00
  ID: 157 | Time: 2025-11-06 14:58:13 | Age: 12d 5h | Side: SHORT | Amount: 2.9107 | Price: $0.53 | Margin: $0.08 | Fee: $0.00
  ID: 162 | Time: 2025-11-06 15:03:13 | Age: 12d 5h | Side: SHORT | Amount: 0.0080 | Price: $0.53 | Margin: $0.00 | Fee: $0.00
  ID: 168 | Time: 2025-11-06 15:06:19 | Age: 12d 5h | Side: SHORT | Amount: 1.0812 | Price: $0.53 | Margin: $0.03 | Fee: $0.00
  ID: 170 | Time: 2025-11-06 15:11:37 | Age: 12d 5h | Side: SHORT | Amount: 0.0049 | Price: $0.53 | Margin: $0.00 | Fee: $0.00
